Bit,Description,SMARTS
SubFP1,Primary carbon,[CX4H3][#6]
SubFP2,Secondary carbon,[CX4H2]([#6])[#6]
SubFP3,Tertiary carbon,[CX4H1]([#6])([#6])[#6]
SubFP4,Quaternary carbon,[CX4]([#6])([#6])([#6])[#6]
SubFP5,Alkene,"[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]=[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]"
SubFP6,Alkyne,[CX2]#[CX2]
SubFP7,Allene,[CX3]=[CX2]=[CX3]
SubFP8,Alkylchloride,[ClX1][CX4]
SubFP9,Alkylfluoride,[FX1][CX4]
SubFP10,Alkylbromide,[BrX1][CX4]
SubFP11,Alkyliodide,[IX1][CX4]
SubFP12,Alcohol,"[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])]"
SubFP13,Primary alcohol,"[OX2H][CX4H2;!$(C([OX2H])[O,S,#7,#15])]"
SubFP14,Secondary alcohol,"[OX2H][CX4H;!$(C([OX2H])[O,S,#7,#15])]"
SubFP15,Tertiary alcohol,"[OX2H][CX4D4;!$(C([OX2H])[O,S,#7,#15])]"
SubFP16,Dialkylether,"[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]"
SubFP17,Dialkylthioether,"[SX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]"
SubFP18,Alkylarylether,"[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]"
SubFP19,Diarylether,[c][OX2][c]
SubFP20,Alkylarylthioether,"[SX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]"
SubFP21,Diarylthioether,[c][SX2][c]
SubFP22,Oxonium,"[O+;!$([O]~[!#6]);!$([S]*~[#7,#8,#15,#16])]"
SubFP23,Amine,"[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])]"
