Compound,Smiles,Interaction
triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,1
compound 20 [PMID: 35584373],CC1=C(C(=NO1)C2=CC=C(C=C2)F)COC3=NC4=C(CN(CC4)C(=O)CS(=O)(=O)C)C=C3,1
flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1
basmisanil,Cc1onc(-c2ccc(F)cc2)c1COc1ccc(C(=O)N2CCS(=O)(=O)CC2)cn1,1
flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1
ONO-8590580,CC1=C(C(=CC2=C1N=CN2CC3CC3)NC4=NC=C(C=C4)C5=CN(C=N5)C)F,1
alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1
Zn2+,[Zn+2],1
α3IA,COC(=O)c1cc(-c2ccc(OC)cc2)c(-c2ccncc2)n(C)c1=O,1
α5IA,Cc1cc(-c2nnc3c4ccccc4c(OCc4cn(C)nn4)nn23)no1,1
5α-pregnan-3α-ol-20-one,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1
bretazenil,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,1
DMCM,CCC1=C2C3=CC(=C(C=C3NC2=CN=C1C(=O)OC)OC)OC,1
L655708,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1
L838417,Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,1
MRK016,Cc1cc(-c2nncc3c(C(C)(C)C)c(OCc4ncnn4C)nn23)no1,1
ocinaplon,O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12,1
Ro15-4513,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,1
Ro19-4603,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,1
RO4938581,FC(F)c1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2,1
RY024,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2,1
tetrahydrodeoxycorticosterone,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)CO)CC[C@@H]12,1
TP003,CC(C)(C1=C(C2=NC=C(N2C=C1)C3=CC(=C(C=C3)F)C4=C(C=C(C=C4)F)C#N)F)O,1
TPA023,CCn1ncnc1COc1nn2c(-c3ccccc3F)nnc2cc1C(C)(C)C,1
ZK93426,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C,1
[3H]flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1
[3H]L655708,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)CO)CC[C@@H]12,1
[3H]CGS8216,C1=CC=C(C=C1)N2C(=O)C3=C(N2)C4=CC=CC=C4N=C3,1
[11C]flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1
[18F]fluoroethylflumazenil,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)CC[18F],1
cenobamate,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,1
[3H]Ro154513,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,1
amiloride,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,1
furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1
PZ-II-029,COC1=CC=C(C=C1)N2C(=O)C3=CN=C4C=C(C=CC4=C3N2)OC,1
LAU159,COc1cccc(-n2nc3c4cc(Cl)ccc4[nH]cc-3c2=O)c1,1
LAU463,COc1ccc(-n2nc3c4ccc(Br)cc4[nH]cc-3c2=O)cc1,1
AZD7325,CCCNC(=O)c1nnc2c(-c3c(F)cccc3OC)cccc2c1N,1
