"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL149549";"";"None";"326.33";"0";"2.15";"51";"CC(=O)N1CCc2nc(O)n3cc(-c4ccccc4F)nc3c2C1";"Activity";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL678888";"Maximum percent potentiation against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"0.0"
"CHEMBL356271";"";"None";"386.45";"0";"3.67";"17";"COc1ccc(-c2cn3c(O)nc4c(c3n2)CN(Cc2ccccc2)CC4)cc1";"EC50";"'='";"143.0";"nM";"6.84";"";"";"UO_0000065";"17.71";"0.32";"3.17";"10.88";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"143.0"
"CHEMBL356806";"";"None";"406.39";"0";"3.58";"36";"O=C(c1cccc(F)c1)N1CCc2nc(O)n3cc(-c4ccccc4F)nc3c2C1";"Activity";"'='";"82.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL678888";"Maximum percent potentiation against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"82.0"
"CHEMBL5397931";"";"None";"385.59";"0";"3.86";"13";"CCCCCCCC/C=C\CCCCCCCC(=O)NC(CO)(CO)CO";"K";"'='";"3.6";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5335759";"Binding affinity to GABAA alpha2 receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5331147";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BINDING AGENT";"";"3.6"
"CHEMBL344120";"";"None";"402.43";"0";"3.75";"39";"Cc1ccccc1C(=O)N1CCc2nc(O)n3cc(-c4ccccc4F)nc3c2C1";"EC50";"'='";"134.0";"nM";"6.87";"";"";"UO_0000065";"17.08";"0.31";"3.12";"9.72";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"134.0"
"CHEMBL148740";"";"None";"356.43";"0";"3.66";"9";"Oc1nc2c(c3nc(-c4ccccc4)cn13)CN(Cc1ccccc1)CC2";"EC50";"'='";"184.0";"nM";"6.74";"";"";"UO_0000065";"18.90";"0.34";"3.08";"12.55";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"184.0"
"CHEMBL145970";"";"None";"338.39";"0";"3.01";"30";"Oc1nc2c(c3nc(-c4ccccc4F)cn13)CN(CC1CC1)CC2";"Activity";"'='";"36.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL678888";"Maximum percent potentiation against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"36.0"
"CHEMBL145970";"";"None";"338.39";"0";"3.01";"30";"Oc1nc2c(c3nc(-c4ccccc4F)cn13)CN(CC1CC1)CC2";"EC50";"'='";"1162.0";"nM";"5.93";"";"";"UO_0000065";"17.54";"0.32";"2.92";"11.06";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"1162.0"
"CHEMBL342270";"";"None";"375.41";"0";"3.19";"43";"Oc1nc2c(c3nc(-c4ccccc4F)cn13)CN(Cc1ccncc1)CC2";"EC50";"'='";"99.0";"nM";"7.00";"";"";"UO_0000065";"18.66";"0.34";"3.81";"10.52";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"99.0"
"CHEMBL3681419";"BASMISANIL";"2.0";"445.47";"0";"2.63";"39; RG1662";"Cc1onc(-c2ccc(F)cc2)c1COc1ccc(C(=O)N2CCS(=O)(=O)CC2)cn1";"Efficacy";"'='";"-6.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4403775";"Binding affinity to GABA-A alpha2 (unknown origin) assessed as reduction in DMCM induced current relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402545";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"-6.0"
