"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL407";"FLUMAZENIL";"ANEXATE|FLUMAZENIL|FLUMAZEPIL|Flumazepil|LANEXAT|MAZICON|Mazicon|NSC-759193|RO 15-1788/000|RO-15-1788|RO-151788|RO-151788000|RO-1722|RO-41-8157|ROMAZICON";"Small molecule";"4.0";"303.29";"221";"778";"1.77";"64.43";"5";"0";"0";"2";"N";"0.79";"None";"2.87";"1.39";"1.39";"2";"MOL";"0";"22";"6";"0";"0";"303.1019";"-0.63";"NEUTRAL";"C15H14FN3O3";"CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2";"OFBIFZUFASYYRE-UHFFFAOYSA-N";"InChI=1S/C15H14FN3O3/c1-3-22-15(21)13-12-7-18(2)14(20)10-6-9(16)4-5-11(10)19(12)8-17-13/h4-6,8H,3,7H2,1-2H3";"False";"0";"['4, Ro-151788', 'Flumazenil', 'Ro-151788', 'Ro-151788', 'Flumazenil', 'flumazenil', '3', 'Ro-151788', 'Flumazenil', 'flumazenil', 'FLUMAZENIL', '97', 'Ro-151788', '1', 'Flumazenil', 'SID11114035', '3', 'Ro-151788', 'Flumazenil', 'flumazenil', 'Flumazenil', 'Flumazenil', '23', 'Ro-151788', 'Flumazenil', '53', 'Flumazenil', 'SID26719655', '31, Ro-151788', 'Ro-151788', '141', '2a', 'Ro-151788', 'Flumazenil', 'flumazenil', 'Flu', 'Flumazenil', 'SID50104818', '232', '2, Ro-151788', 'flumazenil', 'Flumazenil', 'Flumazenil', 'SID85231047', 'Flumazenil', 'Flumazenil', 'Flumazenil', 'FLUMAZENIL', 'SID56422177', 'SID104171157', 'flumazenil', 'SID26752172', 'Flumazenil', 'Flumazenil', 'FlumazenilÊ', 'Ro-151788', 'Flumazenil', 'Flumazenil', 'Ro-151788', 'Flumazenil', 'Flumazenil', 'Ro-151788', 'SID170464960', 'Flumazenil', 'FLUMAZENIL', 'Flumazenil', 'FLUMAZENIL', 'Ro-151788', 'SID11111184', 'SID11532958', 'Flumazenil', 'SID26752173', 'SID90341071', 'Flumazenil', 'Flumazenil', 'FLUMAZENIL', 'Flumazenil', 'Flumazenil', 'Flumazenil', 'FLUMAZENIL', 'Flumazenil', 'FLUMAZENIL', 'FlUMAZENIL', 'SAM001246763', 'flumazenil', 'FMZ', '32', 'FLUMAZENIL', 'FMZ', 'FLUMAZENIL', 'FlumazenilÂ', 'FlUMAZENIL', 'EUB0000531a', '6; Ro 15-1788', 'FlUMAZENIL', 'EUB0000531a', 'flumazenil', 'Flumazenil', 'EUB0000531a', 'Flumazenil', 'COVC-3899238408', 'Flumazenil', '176228054']";"['8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'Flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'FLUMAZENIL', 'flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'SID11114035', 'flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'Flumazenil', 'flumazenil', 'Flumazenil', 'Flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'Flumazenil', 'flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'SID26719655', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'ethyl 7-fluoro-4-methyl-5-oxo-1,3a,4,5-tetrahydroimidazo[1,5-a]quinazoline-3-carboxylate', 'Flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '(Ro-151788) 8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'Flumazenil', 'Flumazenil', 'SID50104818', None, '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'flumazenil', 'ethyl 8-fluoro-5-methyl-6-oxo-5,6-dihydro-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate', 'Flumazenil', 'SID85231047', 'Flumazenil', 'Flumazenil', 'Flumazenil', 'FLUMAZENIL', 'SID56422177', 'SID104171157', 'flumazenil', 'SID26752172', 'Flumazenil', 'Flumazenil', 'FlumazenilÊ', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'Flumazenil', 'Flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'Flumazenil', 'Flumazenil', '7-Fluoro-4-methyl-5-oxo-4,5-dihydro-imidazo[1,5-a]quinazoline-3-carboxylic acid ethyl ester', 'SID170464960', 'Flumazenil', 'Flumazenil', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'FLUMAZENIL', '8-Fluoro-5-methyl-6-oxo-5,6-dihydro-4H-2,5,10b-triaza-benzo[e]azulene-3-carboxylic acid ethyl ester', 'SID11111184', 'SID11532958', 'Flumazenil', 'SID26752173', 'SID90341071', 'Flumazenil', 'Flumazenil', 'FLUMAZENIL', 'Flumazenil', 'Flumazenil', 'Flumazenil', 'FLUMAZENIL', 'Flumazenil', 'FLUMAZENIL', 'FlUMAZENIL', 'C0164604', 'flumazenil', 'Flumazenil', 'Flumazenil', 'FLUMAZENIL', 'ethyl 8-fluoro-5-methyl-6-oxo-5,6-dihydro-4H-benzo[f]imidazo[1,5-a][1,4]diazepine-3-carboxylate', 'FLUMAZENIL', 'FlumazenilÂ', 'FlUMAZENIL', 'FLUMAZENIL', 'Flumazenil; Anexate, ethyl 8-fluoro-5-methyl-6-oxo-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate', 'FlUMAZENIL', 'FLUMAZENIL', 'flumazenil', 'Flumazenil', 'FLUMAZENIL', 'Flumazenil', 'FLUMAZENIL', 'Flumazenil', 'FLUMAZENIL']"
"CHEMBL1783256";"AZD6280";"AZD-6280|AZD6280";"Small molecule";"1.0";"366.42";"9";"15";"3.04";"99.36";"6";"2";"0";"6";"N";"0.70";"None";"3.79";"2.64";"2.64";"3";"MOL";"0";"27";"7";"3";"0";"366.1692";"-0.78";"NEUTRAL";"C20H22N4O3";"CCCNC(=O)c1nnc2c(-c3cc(OC)ccc3OC)cccc2c1N";"NVWCZRPXYVDQEE-UHFFFAOYSA-N";"InChI=1S/C20H22N4O3/c1-4-10-22-20(25)19-17(21)14-7-5-6-13(18(14)23-24-19)15-11-12(26-2)8-9-16(15)27-3/h5-9,11H,4,10H2,1-3H3,(H2,21,23)(H,22,25)";"False";"0";"['AZD6280', '13', '20; AZD6280, Table 2, R3C3']";"['AZD6280', '4-amino-8-(2,5-dimethoxyphenyl)-N-propylcinnoline-3-carboxamide', '4-amino-8-(2,5-dimethoxyphenyl)-N-propylcinnoline-3-carboxamide']"
"CHEMBL911";"ZOLPIDEM";"Ambien|SANVAL|ZOLPIDEM|ZOLPIDEM CIV|Zolpidem";"Small molecule";"4.0";"307.40";"140";"533";"3.25";"37.61";"3";"0";"0";"3";"N";"0.74";"None";"5.39";"3.02";"3.01";"3";"MOL";"0";"23";"4";"0";"0";"307.1685";"-1.87";"NEUTRAL";"C19H21N3O";"Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1";"ZAFYATHCZYHLPB-UHFFFAOYSA-N";"InChI=1S/C19H21N3O/c1-13-5-8-15(9-6-13)19-16(11-18(23)21(3)4)22-12-14(2)7-10-17(22)20-19/h5-10,12H,11H2,1-4H3";"False";"0";"['Zolpidem', 'zolpidem', '147(Zolpidem)', 'zolpidem', 'Zolpidem', '10 (Zolpidem)', 'zolpidem', 'Zolpidem', 'Zolpidem', '390', 'Zolpidem', 'Zolpidem', 'zolpidem', 'Zolpidem', 'Zolpidem', 'zolpidem', 'Zolpidem', '36', 'zolpidem', '2', 'Zolpidem', 'zolpidem', '250, zolpidem', 'Zolpidem', 'Zolpidem', 'zolpidem', 'zolpidem', 'zolpidem', '69', '3', 'zolpidem', 'ZPD', 'Zolpidem', '2', 'zolpidem', 'Zolpidem', 'Zolpidem', 'Zolpidem', 'Zolpidem', 'ZOLPIDEM', 'SID26749064', 'Zolpidem', 'zolpidem', 'ZOLPIDEM', 'Zolpidem', 'Zolpidem', 'SID170465242', 'Zolpidem', 'ZOLPIDEM', 'Zolpidem', 'zolpidem', 'ZOLPIDEM', 'Zolpidem', 'ZOLPIDEM', '2', 'Zolpidem', 'Zolpidem', '96', 'zolpidem', 'Zolpidem', 'SID144205024', '1', 'Zolpidem', 'ZOLPIDEM', 'ZOLPIDEM', 'ZOLPIDEM', '17', 'COVC-3362307110', 'Zolpidem', 'ZOLPIDEM', 'Zolpidem', '3', '44', 'zolpidem', '19', 'Zolpidem']";"['N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide (Zolpidem)', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'zolpidem', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'Zolpidem', 'Zolpidem', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'zolpidem', 'Zolpidem', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'zolpidem', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'zolpidem', 'zolpidem', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'Zolpidem', 'N,N-dimethyl-2-(6-methyl-2-p-tolylH-imidazo[1,2-a]pyridin-3-yl)acetamide', 'N,N-dimethyl-2-(6-methyl-2-p-tolylH-imidazo[1,2-a]pyridin-3-yl)acetamide', 'N,N-dimethyl-2-(6-methyl-2-p-tolylH-imidazo[1,2-a]pyridin-3-yl)acetamide', 'Zolpidem', 'zolpidem', 'zolpidem', 'N,N-dimethyl-2-(6-methyl-2-p-tolylH-imidazo[1,2-a]pyridin-3-yl)acetamide', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'Zolpidem', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'Zolpidem', 'Zolpidem', 'zolpidem', 'zolpidem', 'N,N-dimethyl-2-(6-methyl-2-p-tolylH-imidazo[1,2-a]pyridin-3-yl)acetamide', 'Zolpidem', 'Zolpidem', 'Zolpidem', 'ZOLPIDEM', 'SID26749064', 'Zolpidem', 'zolpidem', 'ZOLPIDEM', 'Zolpidem', 'Zolpidem', 'SID170465242', 'Zolpidem', 'ZOLPIDEM', 'Zolpidem', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'ZOLPIDEM', 'N,N-Dimethyl-2-(6-methyl-2-p-tolyl-imidazo[1,2-a]pyridin-3-yl)-acetamide', 'ZOLPIDEM', 'Zolpidem', 'Zolpidem', 'Zolpidem', 'Zolpidem', 'zolpidem', 'Zolpidem', 'SID144205024', 'N,N-dimethyl-2-[6-methyl-2-(p-tolyl)imidazo[1,2-a]pyridin-3-yl]acetamide', 'Zolpidem', 'ZOLPIDEM', 'ZOLPIDEM', 'ZOLPIDEM', 'Zolpidem', 'ZOLPIDEM', 'Zolpidem', 'ZOLPIDEM', 'Zolpidem', 'Zolpidem', 'Zolpidem', 'zolpidem', 'N,N-dimethyl-2-[6-methyl-2-(p-tolyl)imidazo[1,2-a]pyridin-3-yl]acetamide', 'Zolpidem']"
"CHEMBL1783258";"";"";"Small molecule";"";"352.39";"6";"8";"2.65";"99.36";"6";"2";"0";"5";"N";"0.73";"None";"3.79";"2.12";"2.12";"3";"MOL";"-1";"26";"7";"3";"0";"352.1535";"-0.76";"NEUTRAL";"C19H20N4O3";"CCNC(=O)c1nnc2c(-c3cc(OC)ccc3OC)cccc2c1N";"WFCALMPXVKUYLO-UHFFFAOYSA-N";"InChI=1S/C19H20N4O3/c1-4-21-19(24)18-16(20)13-7-5-6-12(17(13)22-23-18)14-10-11(25-2)8-9-15(14)26-3/h5-10H,4H2,1-3H3,(H2,20,22)(H,21,24)";"False";"-1";"['15', 'Table 2, R2C3']";"['4-amino-8-(2,5-dimethoxyphenyl)-N-ethylcinnoline-3-carboxamide', '4-amino-8-(2,5-dimethoxyphenyl)-N-ethylcinnoline-3-carboxamide']"
"CHEMBL4785991";"";"";"Unknown";"";"365.40";"6";"7";"2.04";"98.06";"8";"1";"0";"4";"N";"0.76";"11.64";"2.55";"0.98";"0.98";"3";"MOL";"-1";"27";"9";"1";"0";"365.1600";"-1.30";"NEUTRAL";"C18H19N7O2";"Cc1nc(Nc2cnc3c(c2)OCC(=O)N3C)nc2c1ncn2CC1CC1";"VXKAPVMLIBICJF-UHFFFAOYSA-N";"InChI=1S/C18H19N7O2/c1-10-15-17(25(9-20-15)7-11-3-4-11)23-18(21-10)22-12-5-13-16(19-6-12)24(2)14(26)8-27-13/h5-6,9,11H,3-4,7-8H2,1-2H3,(H,21,22,23)";"False";"-1";"['23']";"['7-(9-(cyclopropylmethyl)-6-methyl-9H-purin-2-ylamino)-4-methyl-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one']"
"CHEMBL3647544";"";"";"Small molecule";"";"436.51";"1";"1";"4.82";"77.74";"6";"0";"0";"5";"N";"0.45";"None";"2.51";"3.35";"3.35";"4";"MOL";"-1";"31";"6";"0";"0";"436.1369";"-1.34";"NEUTRAL";"C23H21FN4O2S";"CCS(=O)(=O)c1ccc(-c2cc(-c3cnnc4c3ncn4C3CCC3)ccc2F)cc1";"UVZBMQWKNASQMI-UHFFFAOYSA-N";"InChI=1S/C23H21FN4O2S/c1-2-31(29,30)18-9-6-15(7-10-18)19-12-16(8-11-21(19)24)20-13-26-27-23-22(20)25-14-28(23)17-4-3-5-17/h6-14,17H,2-5H2,1H3";"False";"-1";"['BDBM144235']";"['US8952008, 28']"
"CHEMBL3647574";"";"";"Small molecule";"";"466.54";"1";"1";"4.83";"86.97";"7";"0";"0";"6";"N";"0.40";"None";"2.51";"3.32";"3.32";"4";"MOL";"-1";"33";"7";"0";"0";"466.1475";"-1.19";"NEUTRAL";"C24H23FN4O3S";"COc1cc(S(=O)(=O)C(C)C)ccc1-c1cc(-c2cnnc3c2ncn3C2CC2)ccc1F";"AAHOKZZOQDIZPP-UHFFFAOYSA-N";"InChI=1S/C24H23FN4O3S/c1-14(2)33(30,31)17-7-8-18(22(11-17)32-3)19-10-15(4-9-21(19)25)20-12-27-28-24-23(20)26-13-29(24)16-5-6-16/h4,7-14,16H,5-6H2,1-3H3";"False";"-1";"['BDBM144265']";"['US8952008, 23']"
"CHEMBL4754539";"";"";"Unknown";"";"363.40";"6";"7";"3.61";"73.45";"7";"1";"0";"5";"N";"0.59";"None";"5.84";"3.24";"3.24";"4";"MOL";"-1";"27";"7";"1";"0";"363.1608";"-2.08";"NEUTRAL";"C19H18FN7";"Cc1c(F)c(Nc2ccc(-n3ccnc3)nc2)nc2c1ncn2CC1CC1";"GTSIEAATASXETC-UHFFFAOYSA-N";"InChI=1S/C19H18FN7/c1-12-16(20)18(25-19-17(12)23-11-27(19)9-13-2-3-13)24-14-4-5-15(22-8-14)26-7-6-21-10-26/h4-8,10-11,13H,2-3,9H2,1H3,(H,24,25)";"False";"-1";"['34']";"['N-(6-(1H-imidazol-1-yl)pyridin-3-yl)-3-(cyclopropylmethyl)-6-fluoro-7-methyl-3H-imidazo[4,5-b]pyridin-5-amine']"
"CHEMBL4749423";"";"";"Unknown";"";"384.37";"6";"7";"4.19";"60.56";"6";"1";"0";"5";"N";"0.56";"None";"6.00";"3.64";"3.63";"4";"MOL";"-1";"28";"6";"1";"0";"384.1310";"-1.85";"NEUTRAL";"C19H15F3N6";"Fc1cc(Nc2nc3c(ncn3CC3CC3)c(F)c2F)ccc1-n1ccnc1";"MIRUFSULBITCML-UHFFFAOYSA-N";"InChI=1S/C19H15F3N6/c20-13-7-12(3-4-14(13)27-6-5-23-9-27)25-18-16(22)15(21)17-19(26-18)28(10-24-17)8-11-1-2-11/h3-7,9-11H,1-2,8H2,(H,25,26)";"False";"-1";"['33']";"['3-(cyclopropylmethyl)-6,7-difluoro-N-(3-fluoro-4-(1H-imidazol-1-yl)phenyl)-3H-imidazo[4,5-b]pyridin-5-amine']"
"CHEMBL3647556";"";"";"Small molecule";"";"452.54";"1";"1";"3.47";"107.20";"8";"1";"0";"7";"N";"0.46";"None";"2.52";"1.73";"1.73";"4";"MOL";"-1";"32";"8";"1";"0";"452.1518";"-0.93";"NEUTRAL";"C23H24N4O4S";"CCn1cnc2c(-c3ccc(CO)c(-c4ccc(S(=O)(=O)CC)cc4OC)c3)cnnc21";"YZCAYPGFZGVXGK-UHFFFAOYSA-N";"InChI=1S/C23H24N4O4S/c1-4-27-14-24-22-20(12-25-26-23(22)27)15-6-7-16(13-28)19(10-15)18-9-8-17(11-21(18)31-3)32(29,30)5-2/h6-12,14,28H,4-5,13H2,1-3H3";"False";"-1";"['BDBM144247']";"['US8952008, 46']"
