"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL66841";"";"None";"268.27";"0";"2.67";"22";"CCOC(=O)c1cc2c(cn1)nc(O)c1ccccc12";"IC50";"'='";"2398.83";"nM";"5.62";"";"";"UO_0000065";"20.95";"0.38";"2.95";"7.77";"0";"CHEMBL650075";"Inhibition on Benzodiazepine receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1130277";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";"";"5.62"
"CHEMBL73167";"";"None";"372.88";"0";"4.59";"4";"CC(=O)c1cc2c(s1)CCCC1=C2NN(c2ccc(Cl)cc2)C(=O)C1";"Ki";"'='";"4.2";"nM";"8.38";"";"";"UO_0000065";"22.47";"0.46";"3.79";"16.95";"0";"CHEMBL652511";"Binding affinity for GABA-A Benzodiazepine receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1144999";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"4.2"
"CHEMBL91701";"";"None";"289.31";"0";"3.20";"10c";"O=C1NC2CCCCCC2N1c1nc2ccc(F)cc2o1";"Ki";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"28.69";"0.54";"5.10";"14.22";"0";"CHEMBL650073";"Binding affinity against GABA-A benzodiazepine receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1132839";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"5.0"
"CHEMBL365451";"";"None";"474.38";"1";"7.47";"31";"CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1cccc(C(C)(C)C)c1";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL828448";"In vitro insecticidal activity as inhibition of [3H]EBOB binding to Gamma-aminobutyric acid GABA-A receptor of housefly neuronal membranes; IA denotes inactive";"B";"BAO_0000019";"assay format";"Musca domestica";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1137880";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";""
"CHEMBL182710";"";"None";"486.27";"1";"7.19";"36";"CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1C(F)(F)F";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"14.49";"0.32";"-0.14";"16.07";"0";"CHEMBL832611";"In vitro insecticidal activity as inhibition of [3H]EBOB binding to Gamma-aminobutyric acid GABA-A receptor of housefly neuronal membranes";"B";"BAO_0000019";"assay format";"Musca domestica";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1137880";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"90.0"
"CHEMBL191978";"";"None";"330.71";"0";"2.10";"46";"O=c1[nH]c2ccc(Cl)cc2n2c(=O)c(-c3ccc(F)cc3)nn12";"Ki";"'='";"56.0";"nM";"7.25";"";"";"UO_0000065";"21.93";"0.43";"5.15";"10.12";"0";"CHEMBL839964";"Displacement of [3H]flumazenil from bovine benzodiazepine receptor GABA-A channel of brain membranes";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1144412";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"56.0"
"CHEMBL146434";"";"None";"342.78";"0";"3.33";"8 (table 5)";"COc1cccc(CNC(=O)C(=O)c2c[nH]c3ccc(Cl)cc23)c1";"Ki";"'='";"162.18";"nM";"6.79";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL858269";"The compound was tested for benzodiazepine receptor inverse agonist activity";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1132536";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"6.79"
"CHEMBL101326";"FIPRONIL";"-1.0";"437.15";"0";"4.28";"1";"N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F";"IC50";"'='";"2.3";"nM";"8.64";"";"";"UO_0000065";"19.76";"0.45";"4.36";"9.53";"0";"CHEMBL832611";"In vitro insecticidal activity as inhibition of [3H]EBOB binding to Gamma-aminobutyric acid GABA-A receptor of housefly neuronal membranes";"B";"BAO_0000019";"assay format";"Musca domestica";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1137880";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"2.3"
"CHEMBL3329361";"";"None";"274.18";"0";"3.93";"10a";"CCn1c(-c2cccc(Cl)c2Cl)n[nH]c1=S";"Activity";"'='";"19.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3375235";"Displacement of [3H]muscimol form GABAA receptor in rat cerebral cortex assessed as specific radio-ligand binding level at 1 uM incubated for 10 mins by liquid scintillation counting method";"B";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559724";"Cerebral cortex";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351688";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"19.0"
"CHEMBL369775";"";"None";"464.37";"1";"6.89";"33";"CSc1ccccc1-c1c(SC)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL828448";"In vitro insecticidal activity as inhibition of [3H]EBOB binding to Gamma-aminobutyric acid GABA-A receptor of housefly neuronal membranes; IA denotes inactive";"B";"BAO_0000019";"assay format";"Musca domestica";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1137880";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";""
