Compound,ChEMBL_ID,Species,Activity,Value,Unit
triazolam, CHEMBL646 ,Hs,Positive,8.4,pKd
compound 20 [PMID: 35584373],-,Hs,Negative,8.4,pKd
flumazenil, CHEMBL407 ,Hs,-,9.2,pKi
triazolam, CHEMBL646 ,Hs,Positive,8.8,pKi
basmisanil,CHEMBL3681419,Hs,Negative,8.3,pKi
flunitrazepam, CHEMBL13280 ,Hs,Positive,8.3,pKi
ONO-8590580,-,Hs,Negative,8.1,pKi
alprazolam,CHEMBL661,Hs,Positive,8.0,pEC50
Zn2+,-,Hs,Inhibition,-,-
α3IA, CHEMBL413325 ,Hs,Inverse agonist,-,-
α5IA, CHEMBL306422 ,Hs,Inverse agonist,-,-
5α-pregnan-3α-ol-20-one, CHEMBL207538 ,Hs,Potentiation,-,-
bretazenil, CHEMBL366947 ,Hs,Full agonist,-,-
DMCM,-,Hs,Inverse agonist,-,-
L655708,-,Hs,Inverse agonist,-,-
L838417, CHEMBL373250 ,Hs,Partial agonist,-,-
MRK016, CHEMBL363211 ,Hs,Inverse agonist,-,-
ocinaplon, CHEMBL2105199 ,Hs,Partial agonist,-,-
Ro15-4513, CHEMBL6597 ,Hs,Inverse agonist,-,-
Ro19-4603, CHEMBL269366 ,Hs,Inverse agonist,-,-
RO4938581, CHEMBL1080588 ,Hs,Inverse agonist,-,-
RY024,CHEMBL58757,Hs,Inverse agonist,-,-
tetrahydrodeoxycorticosterone, CHEMBL1256760 ,Hs,Potentiation,-,-
TP003,-,Hs,Antagonist,-,-
TPA023,CHEMBL200177,Hs,Antagonist,-,-
ZK93426, CHEMBL1271047 ,Hs,Antagonist,-,-
[3H]flunitrazepam,CHEMBL13280,Hs,Full agonist,-,-
[3H]L655708,-,Hs,Inverse agonist,-,-
[3H]CGS8216,-,Hs,Mixed,-,-
[11C]flumazenil,CHEMBL407,Hs,-,-,-
[18F]fluoroethylflumazenil,-,Hs,-,-,-
